ID,Name,Transformation
0x1,Goku,
0x2,Goku,Super Saiyan
0x3,Goku,Super Saiyan 2
0x4,Goku,Super Saiyan 3
0x5,Kid Gohan,
0x6,Teen Gohan,
0x7,Teen Gohan,Super Saiyan
0x8,Teen Gohan,Super Saiyan 2
0x9,Piccolo,
0xA,Krillin,
0xB,Yamcha,
0xC,Tien,
0xD,Chiaotzu,
0xE,Raditz,
0xF,Saibaman,
0x10,Nappa,
0x11,Vegeta,
0x12,Vegeta,Super Saiyan
0x13,Super Vegeta,
0x14,Zarbon,
0x15,Zarbon,Post-Transformation
0x16,Dodoria,
0x17,Ginyu,
0x18,Recoome,
0x19,Burter,
0x1A,Jeice,
0x1B,Guldo,
0x1C,Frieza,1st Form
0x1D,Frieza,2nd Form
0x1E,Frieza,3rd Form
0x1F,Frieza,Final Form
0x20,Frieza,Full Power
0x21,Mecha Frieza,
0x22,Trunks (Sword),
0x23,Trunks (Sword),Super Saiyan
0x24,Super Trunks,
0x25,Android #16,
0x26,Android #17,
0x27,Android #18,
0x28,Android #19,
0x29,Dr. Gero,
0x2A,Cell,1st Form
0x2B,Cell,2nd Form
0x2C,Cell,Perfect Form
0x2D,Cell,Perfect
0x2E,Cell Jr.,
0x2F,Hercule,
0x30,Gohan,
0x31,Gohan,Super Saiyan
0x32,Gohan,Super Saiyan 2
0x33,Great Saiyaman,
0x34,Ultimate Gohan,
0x35,Goten,
0x36,Goten,Super Saiyan
0x37,Kid Trunks,
0x38,Kid Trunks,Super Saiyan
0x39,Gotenks,
0x3A,Gotenks,Super Saiyan
0x3B,Gotenks,Super Saiyan 3
0x3C,Videl,
0x3D,Dabura,
0x3E,Majin Buu,
0x3F,Majin Buu (Pure Evil),
0x40,Super Buu,
0x41,Kid Buu,
0x42,Vegito,
0x43,Super Vegito,
0x44,Vegeta 2nd Form,Super Saiyan 2
0x45,Super Gogeta,
0x46,Great Ape,
0x47,Great Ape Vegeta,
0x48,Broly,Legendary Super Saiyan
0x49,Bojack,Full Power
0x4A,Cooler,Final Form
0x4B,Janemba,Final Form
0x4C,Goku,Super Saiyan 4
0x4D,Vegeta (second form),Super Saiyan 4
0x4E,Gogeta,Super Saiyan 4
0x4F,Bardock,
0x50,Vegeta (Scouter),
0x51,Vegeta (second form),Majin
0x52,Trunks,
0x53,Trunks,Super Saiyan
0x54,Super Android 17,
0x55,Super Baby 2,
0x56,Kid Goku,
0x57,Super Buu,Gotenks Absorbed
0x58,Super Buu,Gohan Absorbed
0x59,Master Roshi,
0x5A,Tao Pai Pai,
0x5B,Garlic Jr.,
0x5C,Super Garlic Jr.,
0x5D,Pan,
0x5E,Cooler,
0x5F,Metal Cooler,
0x60,Master Roshi,Max Power
0x61,Slug,
0x62,Slug,Giant
0x63,Delete Character (Arale),
0x64,Zangya,
0x65,Salza,
0x66,Broly,
0x67,Broly,Super Saiyan
0x68,Bojack,
0x69,Janemba,
0x6A,Super Baby 1,
0x6B,Great Ape Baby,
0x6C,Great Ape Raditz,
0x6D,Great Ape Nappa,
0x6E,Great Ape Bardock,
0x6F,Great Saiyaman 2,
0x70,Cui,
0x71,Pikkon,
0x72,Yajirobe,
0x73,Uub,
0x74,Majuub,
0x75,Syn Shenron,
0x76,Super Yi-Shin-Long,
0x77,Android 13,
0x78,Android 13,Fusion
0x79,Turles,
0x7A,Great Ape Turles,
0x7B,Supreme Kai,
0x7C,Kibitoshin,
0x7D,Hirudegarn,
0x7E,Tapion,
0x7F,Grandpa Gohan,
0x80,Vegeta (second form),
0x81,Vegeta (second form),Super Saiyan
0x82,Baby Vegeta,
0x83,Pilaf Machine,
0x84,Pilaf Machine,Fused
0x85,Demon King Piccolo,
0x86,Cyborg Tao,
0x87,Appule,
0x88,Frieza Soldier
